fromId	keyId	targetId	steps
856857	347626	348360	5
507083	586215	587390	4
768040	992259	992377	6
170646	951010	952167	8
309817	46676	48391	8
507083	18341	21304	3
744095	476709	477345	9
418391	797256	798431	6
774308	620078	620202	6
391364	993808	994191	5
1012464	782145	782147	6
768040	231550	231678	8
1012464	263264	264035	4
221072	699925	700300	7
391364	302517	304639	6
774308	975266	976853	4
856857	886152	887900	5
782147	11470	13330	4
526807	213713	213739	6
472812	780653	782147	5
526807	711670	712247	4
418391	456381	457146	5
782147	845012	847382	4
391364	443246	443284	4
114607	957569	958104	5
114607	504946	505515	8
856857	812725	816250	6
114607	605134	607123	6
71283	136789	138649	6
507083	882988	883035	7
744095	939999	942126	7
782147	144229	144882	7
774308	818282	818396	4
507083	102537	103942	6
170646	922071	923615	7
507083	313739	314036	4
657790	484067	484818	6
391364	462098	463276	3
832999	631335	633318	7
526807	86005	87060	6
170646	373927	374625	6
309817	900513	905962	7
609989	777111	777465	4
657790	354823	354873	6
170646	450558	450931	3
1012464	787590	788853	9
1012464	11083	13330	4
782147	192373	192665	6
657790	435243	435554	5
309817	108174	108812	8
114607	872967	873236	5
507083	108149	108812	7
768040	805725	806794	3
782147	671217	671293	6
507083	980460	983382	5
507083	256582	256585	6
221072	643505	643586	5
507083	516073	518531	3
856857	188724	191401	8
744095	60135	60418	6
768040	293559	293817	7
782147	704909	706128	7
221072	398857	399305	6
657790	957463	958104	4
391364	546523	546905	5
774308	365261	365538	6
472812	669823	670082	6
114607	1036077	1039150	8
391364	331896	332157	5
744095	1043304	1044272	3
609989	944499	944860	5
309817	971519	973996	4
391364	505474	505515	6
526807	291956	293288	6
856857	781598	782147	7
768040	961950	964417	8
1012464	880804	882133	8
744095	57228	57763	6
744095	427483	427739	7
1012464	65275	67471	8
170646	499026	499381	7
472812	137841	138649	7
744095	263415	264035	5
73035	778029	778081	7
221072	361936	363419	4
774308	82502	83034	6
221072	835716	836116	6
472812	370714	371634	8
856857	353336	353698	6
1012464	839548	839684	8
774308	526298	526807	4
114607	832040	832999	7
657790	570235	570375	6
657790	1043730	1044272	6
418391	1022570	1023379	4
782147	614829	615247	8
309817	923205	923615	6
657790	865416	865765	5
221072	193143	193465	7
832999	183065	184815	4
73035	373088	374625	5
782147	758431	760889	7
1012464	830913	831164	6
73035	480257	480277	4
507083	461230	461652	9
526807	764621	765735	6
114607	576972	578227	7
170646	252293	253625	4
832999	103360	103942	6
526807	399882	402288	5
71283	89351	89563	3
1012464	147101	147889	7
472812	647686	647753	5
744095	86554	87060	6
526807	322446	322963	6
114607	984941	985974	7
609989	950142	950173	6
472812	694019	694184	5
1012464	899850	905962	6
71283	400001	402288	6
782147	247547	248234	7
744095	650117	650149	6
609989	464594	466721	8
507083	81568	81597	6
856857	234286	235296	7
309817	773121	774028	5
221072	574778	578227	5
774308	1031234	1032148	7
768040	1032571	1035742	2
391364	519175	519666	5
71283	529532	531849	8
71283	20621	21304	7
832999	473476	474019	6
507083	998798	1000187	7
391364	955618	957165	5
744095	728756	728810	8
832999	818464	821616	8
768040	709851	711452	7
170646	481024	481797	6
472812	724488	725014	6
744095	151147	152478	8
507083	647211	647753	4
1012464	909539	911364	6
832999	210349	210869	6
526807	441943	442735	8
526807	712393	713093	5
472812	899845	905962	7
768040	300958	302484	7
526807	24128	27129	4
657790	46800	48391	5
418391	904824	905962	6
774308	545984	546016	7
856857	753227	753387	8
114607	562617	563176	7
832999	415276	415924	7
170646	100208	101928	8
391364	779629	780277	6
309817	894699	896184	7
768040	145215	145254	6
221072	753967	754708	3
472812	632048	633318	5
526807	636108	640125	5
418391	1029115	1029343	7
744095	56063	57763	6
71283	128447	131196	4
526807	617438	618091	4
472812	299355	299986	6
768040	420276	420469	7
768040	1036929	1039150	4
507083	1024186	1025369	8
418391	502656	503721	3
418391	465786	466721	4
71283	131818	132057	4
309817	876937	876946	5
472812	909845	911364	6
507083	930756	931681	6
170646	897229	897487	6
391364	604424	607123	5
507083	926504	926567	6
526807	328573	329327	6
657790	862067	862978	5
526807	56782	57763	5
609989	221344	222181	5
832999	58641	58730	4
744095	546325	546905	7
71283	444660	445869	6
526807	102663	103942	8
170646	187774	191401	5
418391	481264	481797	5
609989	128140	128401	5
507083	331113	332157	6
418391	315157	315367	6
418391	699505	700300	5
221072	1044884	1044951	5
391364	104661	106778	6
526807	435232	435554	6
221072	702375	703408	7
